open supabase/.temp/profile: no such file or directory
Supabase CLI 2.67.1
Using profile: supabase (supabase.co)
Setting up Edge Functions runtime...
Added directory from watcher: /Users/andrescordero/golplay-web/supabase/functions/
Added directory from watcher: /Users/andrescordero/golplay-web/supabase/functions/create-booking
Added directory from watcher: /Users/andrescordero/golplay-web/supabase/functions/handle-overdue
2026-01-01T17:44:27.807842501Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/x/jose@v4.13.1/jws/compact/verify.ts
2026-01-01T17:44:27.807852834Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/x/jose@v4.13.1/jws/compact/verify.ts
2026-01-01T17:44:27.807855667Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/x/jose@v4.13.1/jws/compact/verify.ts
2026-01-01T17:44:27.807857167Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/x/jose@v4.13.1/jws/flattened/verify.ts
2026-01-01T17:44:27.807858167Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/x/jose@v4.13.1/jws/flattened/verify.ts
2026-01-01T17:44:27.807940292Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/x/jose@v4.13.1/jws/flattened/verify.ts
2026-01-01T17:44:27.808003667Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/x/jose@v4.13.1/jws/general/verify.ts
2026-01-01T17:44:27.808007042Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/x/jose@v4.13.1/jws/general/verify.ts
2026-01-01T17:44:27.808010126Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/x/jose@v4.13.1/jws/general/verify.ts
2026-01-01T17:44:27.808164584Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/x/jose@v4.13.1/jwt/verify.ts
2026-01-01T17:44:27.808194084Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/x/jose@v4.13.1/jwt/verify.ts
2026-01-01T17:44:27.808200917Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/x/jose@v4.13.1/jwt/verify.ts
2026-01-01T17:44:27.808275334Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/x/jose@v4.13.1/jwt/decrypt.ts
2026-01-01T17:44:27.808278292Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/x/jose@v4.13.1/jwt/decrypt.ts
2026-01-01T17:44:27.808279459Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/x/jose@v4.13.1/jwt/decrypt.ts
2026-01-01T17:44:27.808888251Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/x/jose@v4.13.1/jwe/compact/encrypt.ts
2026-01-01T17:44:27.808910751Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/x/jose@v4.13.1/jwe/compact/encrypt.ts
2026-01-01T17:44:27.808965167Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/x/jose@v4.13.1/jwe/compact/encrypt.ts
2026-01-01T17:44:27.809617876Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/x/jose@v4.13.1/jwe/flattened/encrypt.ts
2026-01-01T17:44:27.809630542Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/x/jose@v4.13.1/jwe/flattened/encrypt.ts
2026-01-01T17:44:27.809978084Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/x/jose@v4.13.1/jwe/flattened/encrypt.ts
2026-01-01T17:44:27.811030001Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/x/jose@v4.13.1/jws/compact/sign.ts
2026-01-01T17:44:27.811041209Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/x/jose@v4.13.1/jws/compact/sign.ts
2026-01-01T17:44:27.811042501Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/x/jose@v4.13.1/jws/compact/sign.ts
2026-01-01T17:44:27.811043667Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/x/jose@v4.13.1/jws/flattened/sign.ts
2026-01-01T17:44:27.811044959Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/x/jose@v4.13.1/jws/flattened/sign.ts
2026-01-01T17:44:27.811045959Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/x/jose@v4.13.1/jws/flattened/sign.ts
2026-01-01T17:44:27.811299584Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/x/jose@v4.13.1/jws/general/sign.ts
2026-01-01T17:44:27.811406459Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/x/jose@v4.13.1/jws/general/sign.ts
2026-01-01T17:44:27.811517167Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/x/jose@v4.13.1/jws/general/sign.ts
2026-01-01T17:44:27.811988501Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/x/jose@v4.13.1/jwt/sign.ts
2026-01-01T17:44:27.812085667Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/x/jose@v4.13.1/jwt/sign.ts
2026-01-01T17:44:27.812171834Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/x/jose@v4.13.1/jwt/sign.ts
2026-01-01T17:44:27.812828126Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/x/jose@v4.13.1/jwt/encrypt.ts
2026-01-01T17:44:27.812835876Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/x/jose@v4.13.1/jwt/encrypt.ts
2026-01-01T17:44:27.812837042Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/x/jose@v4.13.1/jwt/encrypt.ts
2026-01-01T17:44:27.813234334Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/x/jose@v4.13.1/jwk/thumbprint.ts
2026-01-01T17:44:27.813238709Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/x/jose@v4.13.1/jwk/thumbprint.ts
2026-01-01T17:44:27.813246126Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/x/jose@v4.13.1/jwk/thumbprint.ts
2026-01-01T17:44:27.813805542Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/x/jose@v4.13.1/jwk/embedded.ts
2026-01-01T17:44:27.813813751Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/x/jose@v4.13.1/jwk/embedded.ts
2026-01-01T17:44:27.813814959Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/x/jose@v4.13.1/jwk/embedded.ts
2026-01-01T17:44:27.814182042Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/x/jose@v4.13.1/jwks/local.ts
2026-01-01T17:44:27.814186042Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/x/jose@v4.13.1/jwks/local.ts
2026-01-01T17:44:27.814187042Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/x/jose@v4.13.1/jwks/local.ts
2026-01-01T17:44:27.814562626Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/x/jose@v4.13.1/jwks/remote.ts
2026-01-01T17:44:27.814568084Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/x/jose@v4.13.1/jwks/remote.ts
2026-01-01T17:44:27.814569209Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/x/jose@v4.13.1/jwks/remote.ts
2026-01-01T17:44:27.814794126Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/x/jose@v4.13.1/jwt/unsecured.ts
2026-01-01T17:44:27.814801042Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/x/jose@v4.13.1/jwt/unsecured.ts
2026-01-01T17:44:27.814802167Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/x/jose@v4.13.1/jwt/unsecured.ts
2026-01-01T17:44:27.815349709Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/x/jose@v4.13.1/key/export.ts
2026-01-01T17:44:27.815354042Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/x/jose@v4.13.1/key/export.ts
2026-01-01T17:44:27.815355459Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/x/jose@v4.13.1/key/export.ts
2026-01-01T17:44:27.815758334Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/x/jose@v4.13.1/key/import.ts
2026-01-01T17:44:27.815766251Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/x/jose@v4.13.1/key/import.ts
2026-01-01T17:44:27.815767501Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/x/jose@v4.13.1/key/import.ts
2026-01-01T17:44:27.816136126Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/x/jose@v4.13.1/util/decode_protected_header.ts
2026-01-01T17:44:27.816162042Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/x/jose@v4.13.1/util/decode_protected_header.ts
2026-01-01T17:44:27.816164917Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/x/jose@v4.13.1/util/decode_protected_header.ts
2026-01-01T17:44:27.816166001Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/x/jose@v4.13.1/util/decode_jwt.ts
2026-01-01T17:44:27.816186584Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/x/jose@v4.13.1/util/decode_jwt.ts
2026-01-01T17:44:27.816188876Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/x/jose@v4.13.1/util/decode_jwt.ts
2026-01-01T17:44:27.816385001Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/x/jose@v4.13.1/util/errors.ts
2026-01-01T17:44:27.816389001Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/x/jose@v4.13.1/util/errors.ts
2026-01-01T17:44:27.816400626Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/x/jose@v4.13.1/util/errors.ts
2026-01-01T17:44:27.816831751Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/x/jose@v4.13.1/key/generate_key_pair.ts
2026-01-01T17:44:27.816839584Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/x/jose@v4.13.1/key/generate_key_pair.ts
2026-01-01T17:44:27.816840751Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/x/jose@v4.13.1/key/generate_key_pair.ts
2026-01-01T17:44:27.816890501Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/x/jose@v4.13.1/key/generate_secret.ts
2026-01-01T17:44:27.816892251Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/x/jose@v4.13.1/key/generate_secret.ts
2026-01-01T17:44:27.816893376Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/x/jose@v4.13.1/key/generate_secret.ts
2026-01-01T17:44:27.817149167Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/x/jose@v4.13.1/util/base64url.ts
2026-01-01T17:44:27.817165501Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/x/jose@v4.13.1/util/base64url.ts
2026-01-01T17:44:27.817168084Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/x/jose@v4.13.1/util/base64url.ts
2026-01-01T17:44:27.817271001Z DEBUG FileFetcher::fetch_no_follow_with_options - specifier: https://deno.land/std@0.224.0/path/posix/basename.ts
2026-01-01T17:44:27.817273751Z DEBUG FileFetcher::fetch_remote_no_follow - specifier: https://deno.land/std@0.224.0/path/posix/basename.ts
2026-01-01T17:44:27.817274834Z DEBUG FileFetcher::fetch_cached_no_follow - specifier: https://deno.land/std@0.224.0/path/posix/basename.ts
